City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
157,Bandarbeyla,SO,9.4942,50.8122,76.06,87,11,29.68,few clouds,0,0
158,Saldanha,ZA,-33.0117,17.9442,53.71,64,0,10.36,clear sky,0,0
159,Sawakin,SD,19.1059,37.3321,94.14,41,1,7.34,clear sky,0,0
160,Sept-Iles,CA,50.2001,-66.3821,68.59,82,67,4.76,broken clouds,0,0
161,Margate,GB,51.3813,1.3862,68.92,75,82,1.99,broken clouds,0,0
162,Vostok,RU,46.4856,135.8833,55.89,72,97,2.44,overcast clouds,0,0
163,Mar Del Plata,AR,-38.0023,-57.5575,55.42,54,0,9.22,clear sky,0,0
164,Vaitape,PF,-16.5167,-151.75,78.8,68,80,10.87,broken clouds,0,0
165,Monrovia,LR,6.3005,-10.7969,78.57,78,100,15.23,overcast clouds,0,0
166,Garden City,US,42.3256,-83.331,84.18,77,90,1.01,overcast clouds,0,0
167,Okha,RU,53.5739,142.9478,54.57,81,26,7.49,scattered clouds,0,0
168,Sturgeon Bay,US,44.8342,-87.377,79.09,46,75,16.11,broken clouds,0,0
169,Cherskiy,RU,68.75,161.3,51.44,96,100,9.62,light rain,0.4,0
170,Castro,BR,-24.7911,-50.0119,50.58,98,100,4.92,overcast clouds,0,0
171,Sumenep,ID,-7.0167,113.8667,78.28,84,11,6.67,few clouds,0,0
172,Chelbasskaya,RU,45.9792,39.3719,69.39,94,100,13.13,light rain,0.87,0
173,Bathsheba,BB,13.2167,-59.5167,88.41,70,40,17.27,scattered clouds,0,0
174,Geraldton,AU,-28.7667,114.6,43.21,93,0,8.05,clear sky,0,0
175,Grajau,BR,-5.8194,-46.1386,99.14,20,63,6.26,broken clouds,0,0
176,Tezu,IN,27.9167,96.1667,75.85,97,100,2.19,overcast clouds,0,0
177,Gravdal,NO,68.1214,13.5031,53.49,82,75,3.44,broken clouds,0,0
178,Mopti,ML,14.6667,-4,91.42,43,100,10.2,overcast clouds,0,0
179,Istiaia,GR,38.9558,23.1528,82.69,63,0,2.35,clear sky,0,0
180,Tuatapere,NZ,-46.1333,167.6833,42.82,80,87,16.73,overcast clouds,0,0
181,Longyearbyen,SJ,78.2186,15.6401,44.44,65,40,13.8,scattered clouds,0,0
182,Ponta Do Sol,PT,32.6667,-17.1,75.83,76,8,3.51,clear sky,0,0
183,Marawi,PH,7.9986,124.2928,65.64,92,100,2.73,moderate rain,1.78,0
184,Borovskoy,KZ,53.8,64.15,58.14,54,15,2.44,few clouds,0,0
185,Khor,RU,47.8861,134.9464,57.04,85,50,2.93,scattered clouds,0,0
186,Vardo,NO,70.3705,31.1107,52,93,75,0,fog,0,0
187,Magadan,RU,59.5667,150.8,53.44,93,96,1.54,overcast clouds,0,0
188,Isangel,VU,-19.55,169.2667,68.11,76,94,16.02,overcast clouds,0,0
189,La Asuncion,VE,11.0333,-63.8628,82.69,73,100,5.35,overcast clouds,0,0
190,Jumla,NP,29.2747,82.1838,62.91,94,100,0.63,overcast clouds,0,0
191,Umm Kaddadah,SD,13.6017,26.6876,84.69,47,100,4.54,overcast clouds,0,0
192,Arraial Do Cabo,BR,-22.9661,-42.0278,64.26,94,90,4.61,light intensity drizzle,0,0
193,Hirara,JP,24.8,125.2833,82,83,100,22.7,overcast clouds,0,0
194,Vanimo,PG,-2.6741,141.3028,76.59,91,100,5.64,overcast clouds,0,0
195,Quang Ngai,VN,15.1167,108.8,78.93,78,100,5.23,overcast clouds,0,0
196,Plettenberg Bay,ZA,-34.0527,23.3716,51.48,80,8,8.05,clear sky,0,0
197,The Valley,AI,18.217,-63.0578,89.46,82,92,15.55,overcast clouds,0,0
198,Colares,PT,38.7992,-9.4469,81.59,57,0,14.97,clear sky,0,0
199,Tual,ID,-5.6667,132.75,80.24,82,87,21.12,overcast clouds,0,0
200,Launceston,AU,-41.45,147.1667,41.61,90,10,3,clear sky,0,0
201,Katherine,AU,-14.4667,132.2667,68.32,60,75,5.75,broken clouds,0,0
202,Yumen,CN,40.2833,97.2,75.61,21,98,8.93,overcast clouds,0,0
203,Torbay,CA,47.6666,-52.7314,72.28,87,46,1.99,scattered clouds,0,0
204,Saint George,US,37.1041,-113.5841,101.53,29,1,3,clear sky,0,0
205,Kiama,AU,-34.6833,150.8667,48.25,80,1,6.49,clear sky,0,0
206,Najran,SA,17.4924,44.1277,89.2,13,87,5.84,overcast clouds,0,0
207,Mae Sai,TH,20.4335,99.8762,72.25,99,100,1.16,light rain,0.29,0
208,Ballina,AU,-28.8667,153.5667,58.78,92,26,6.55,scattered clouds,0,0
209,Tutoia,BR,-2.7619,-42.2744,85.98,71,71,14.72,broken clouds,0,0
210,College,US,64.8569,-147.8028,57.18,83,75,3.44,light rain,0.13,0
211,Tilichiki,RU,60.4667,166.1,53.64,79,99,3.89,overcast clouds,0,0
