City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Valkla,EE,2021-08-13 02:40:55,59.4744,25.3186,60.85,88,4,9.53
149,Port Pirie,AU,2021-08-13 02:40:56,-33.1833,138.0167,59.09,62,2,5.7
150,Lokosovo,RU,2021-08-13 02:40:56,61.1333,74.8167,60.71,57,79,4.47
151,Atasu,KZ,2021-08-13 02:40:56,48.6814,71.6433,57.38,74,92,17.81
152,Thinadhoo,MV,2021-08-13 02:40:57,0.5333,72.9333,81.27,76,100,15.95
153,Rocky Mountain House,CA,2021-08-13 02:40:57,52.3668,-114.9188,74.95,35,7,4.61
154,Ribeira Grande,PT,2021-08-13 02:37:11,38.5167,-28.7,73.47,86,47,26.42
155,Nome,US,2021-08-13 02:40:58,64.5011,-165.4064,52.16,62,1,10.36
156,Andenes,NO,2021-08-13 02:37:12,69.3143,16.1194,53.58,94,90,6.91
157,Hovd,MN,2021-08-13 02:40:58,48.0056,91.6419,72.09,31,95,1.68
158,Sukabumi,ID,2021-08-13 02:38:41,-6.9181,106.9267,82.33,58,76,0.98
159,Yuzhne,UA,2021-08-13 02:40:59,46.6221,31.1013,62.82,64,0,14.9
160,Tiksi,RU,2021-08-13 02:36:32,71.6872,128.8694,46.42,78,98,15.48
161,Bandarbeyla,SO,2021-08-13 02:40:59,9.4942,50.8122,75.18,84,78,21.41
162,Itoigawa,JP,2021-08-13 02:41:00,37.0333,137.85,72.3,97,100,1.5
163,Puerto Del Rosario,ES,2021-08-13 02:41:00,28.5004,-13.8627,73.15,73,1,13.8
164,Hithadhoo,MV,2021-08-13 02:36:20,-0.6,73.0833,80.24,77,100,9.22
165,Haines Junction,CA,2021-08-13 02:41:00,60.7522,-137.5108,60.75,67,100,8.05
166,Lingyuan,CN,2021-08-13 02:41:01,41.24,119.4011,70.18,77,80,1.32
167,Skjervoy,NO,2021-08-13 02:41:01,70.0311,20.9714,51.42,97,100,8.59
168,Goderich,CA,2021-08-13 02:41:01,43.7501,-81.7165,75.52,78,9,6.91
169,Knysna,ZA,2021-08-13 02:41:02,-34.0363,23.0471,44.98,85,89,2.35
170,Bathsheba,BB,2021-08-13 02:41:02,13.2167,-59.5167,79.41,89,40,8.05
171,Winnemucca,US,2021-08-13 02:41:03,40.973,-117.7357,98.65,12,1,5.75
172,Narsaq,GL,2021-08-13 02:41:03,60.9167,-46.05,46.62,77,78,2.44
173,Senneterre,CA,2021-08-13 02:41:03,48.3835,-77.2328,73.62,59,51,10.09
174,Clyde River,CA,2021-08-13 02:36:26,70.4692,-68.5914,37.63,100,90,16.11
175,Naurskaya,RU,2021-08-13 02:41:04,43.6519,45.3133,72.54,76,18,6.44
176,Lorengau,PG,2021-08-13 02:41:04,-2.0226,147.2712,82.04,78,100,7.38
177,Thompson,CA,2021-08-13 02:37:04,55.7435,-97.8558,51.96,66,90,9.22
178,Marsala,IT,2021-08-13 02:41:05,37.7966,12.4352,82.94,76,0,5.61
179,Villa Del Rosario,CO,2021-08-13 02:41:05,7.8339,-72.4742,79.18,74,40,2.3
180,Bocaiuva,BR,2021-08-13 02:41:05,-17.1078,-43.815,67.71,51,10,8.05
181,Te Anau,NZ,2021-08-13 02:36:58,-45.4167,167.7167,49.21,76,57,4.25
182,Rocha,UY,2021-08-13 02:41:06,-34.4833,-54.3333,38.84,93,0,3.42
183,Adrar,MR,2021-08-13 02:41:06,20.5022,-10.0711,90.23,13,67,17.0
184,Sambava,MG,2021-08-13 02:41:07,-14.2667,50.1667,66.87,88,52,7.34
185,Kavaratti,IN,2021-08-13 02:41:07,10.5669,72.642,81.75,78,100,17.96
186,Chapais,CA,2021-08-13 02:41:07,49.7834,-74.8492,64.18,61,51,11.41
187,Dunedin,NZ,2021-08-13 02:32:33,-45.8742,170.5036,56.8,51,3,5.01
188,Geraldton,AU,2021-08-13 02:37:06,-28.7667,114.6,57.61,62,0,17.27
189,Tura,IN,2021-08-13 02:41:08,25.5198,90.2201,75.9,95,100,7.36
190,Dawlatabad,AF,2021-08-13 02:41:08,36.4141,64.9053,85.91,19,0,7.52
191,Mankono,CI,2021-08-13 02:41:09,8.0586,-6.1897,70.84,98,100,5.59
192,San Cristobal,VE,2021-08-13 02:37:21,7.7669,-72.225,73.58,97,90,2.62
193,Zwedru,LR,2021-08-13 02:41:09,6.0667,-8.1281,70.56,99,100,2.89
194,Tasiilaq,GL,2021-08-13 02:36:35,65.6145,-37.6368,46.56,70,100,4.74
195,Padang,ID,2021-08-13 02:36:04,-0.9492,100.3543,80.65,67,41,1.74
196,Billings,US,2021-08-13 02:37:05,45.7833,-108.5007,76.28,36,1,14.97
197,Malanville,BJ,2021-08-13 02:41:10,11.8685,3.3899,73.51,95,99,2.35
198,Hermiston,US,2021-08-13 02:36:16,45.8404,-119.2895,97.45,24,1,4.61
199,Manikpur,IN,2021-08-13 02:41:10,25.0667,81.1167,83.97,73,100,7.81
200,Kuala Lipis,MY,2021-08-13 02:41:11,4.1842,102.0468,87.4,58,58,1.52
201,Hervey Bay,AU,2021-08-13 02:41:11,-25.2986,152.8535,73.51,60,0,2.53
202,Port Hardy,CA,2021-08-13 02:37:36,50.6996,-127.4199,77.18,57,20,3.44
203,Harper,LR,2021-08-13 02:41:12,4.375,-7.7169,76.82,76,100,12.86
204,Kahului,US,2021-08-13 02:36:59,20.8947,-156.47,85.26,68,1,21.85
205,Xining,CN,2021-08-13 02:36:17,36.6167,101.7667,66.63,49,31,0.16
206,Hamm,DE,2021-08-13 02:41:12,51.6803,7.8209,64.45,87,88,3.65
207,Oktyabrskoye,RU,2021-08-13 02:36:52,43.0645,44.7417,64.54,94,47,4.47
208,Ludwigslust,DE,2021-08-13 02:41:13,53.3167,11.5,64.81,83,95,3.02
209,Sao Filipe,CV,2021-08-13 02:41:13,14.8961,-24.4956,75.49,79,17,10.09
210,Porto Belo,BR,2021-08-13 02:41:13,-27.1578,-48.5531,58.98,87,100,4.18
211,Bouloupari,NC,2021-08-13 02:41:14,-21.8667,166.05,75.11,55,88,6.02
212,Edirne,TR,2021-08-13 02:41:14,41.6772,26.556,70.45,67,0,3.78
213,Aloleng,PH,2021-08-13 02:36:47,16.1307,119.7824,82.15,75,100,5.08
214,Salamiyah,SY,2021-08-13 02:41:15,35.0113,37.0532,73.89,74,0,6.51
215,Atambua,ID,2021-08-13 02:36:36,-9.1061,124.8925,85.21,47,7,4.29
216,Saskylakh,RU,2021-08-13 02:36:25,71.9167,114.0833,46.6,74,100,10.29
217,Marrakesh,MA,2021-08-13 02:41:16,31.6315,-8.0083,80.67,57,0,2.3
218,Oyama,JP,2021-08-13 02:37:00,36.3,139.8,72.66,97,100,6.33
219,Tuatapere,NZ,2021-08-13 02:41:16,-46.1333,167.6833,52.83,65,29,3.38
220,Tigzirt,DZ,2021-08-13 02:41:16,36.8886,4.1198,86.99,29,2,8.66
221,Fujin,CN,2021-08-13 02:41:17,47.26,132.0322,81.07,36,0,3.51
222,Harsin,IR,2021-08-13 02:41:17,34.2721,47.5861,74.48,21,0,0.72
223,Luebo,CD,2021-08-13 02:41:17,-5.35,21.4167,71.96,71,25,1.14
224,Kiunga,PG,2021-08-13 02:41:18,-6.1219,141.2906,85.15,66,97,3.94
225,Talnakh,RU,2021-08-13 02:37:07,69.4865,88.3972,53.04,61,53,7.09
226,Jalpan,MX,2021-08-13 02:41:18,21.2333,-99.4833,71.11,85,59,3.29
227,Karoi,ZW,2021-08-13 02:37:18,-16.8099,29.6925,54.61,58,0,3.0
228,Seoul,KR,2021-08-13 02:41:19,37.5683,126.9778,82.0,65,0,5.75
229,Alice Springs,AU,2021-08-13 02:33:58,-23.7,133.8833,60.35,27,0,13.8
230,Necochea,AR,2021-08-13 02:41:20,-38.5473,-58.7368,39.04,75,0,10.09
231,Mpika,ZM,2021-08-13 02:41:20,-11.8343,31.4529,53.64,65,0,5.12
232,Alibag,IN,2021-08-13 02:41:20,18.6411,72.8792,82.47,78,73,4.09
233,Ballina,AU,2021-08-13 02:41:20,-28.8667,153.5667,73.58,73,75,11.5
