City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
419,Rosetta,EG,79.77,clear sky,31.4044,30.4164,Green Valley
421,Marsaxlokk,MT,85.08,clear sky,35.8419,14.5431,Water's Edge
423,Roma,US,89.46,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
427,Turmalina,BR,80.4,scattered clouds,-17.2856,-42.73,Hotel Cristal
431,Rochester,US,86.99,overcast clouds,43.1548,-77.6156,Hyatt Regency Rochester
432,Ixtapa,MX,88.23,few clouds,20.7,-105.2,Hotel Plaza Providencia
435,Pacific Grove,US,86.81,clear sky,36.6177,-121.9166,Lovers Point Inn
436,Amahai,ID,76.6,few clouds,-3.3333,128.9167,HOTEL ISABELA
439,Praia,CV,82.94,few clouds,14.9215,-23.5087,LT Aparthotel
443,Cobija,BO,84.38,clear sky,-11.0267,-68.7692,Hotel Obelisco
444,Kieta,PG,78.67,light rain,-6.2167,155.6333,Uruna Bay Retreat
451,Bose,IT,83.48,broken clouds,45.4612,8.0137,Locanda Borgo Antico
453,Chabahar,IR,80.49,scattered clouds,25.2919,60.643,هتل گدروشیا
460,Ormara,PK,79.09,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
464,Rock Springs,US,87.24,clear sky,41.5875,-109.2029,Homewood Suites by Hilton Rock Springs
466,Hobyo,SO,76.64,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
484,Willmar,US,76.95,clear sky,45.1219,-95.0433,Lakeview Inn
486,Aquiraz,BR,84.29,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
489,Paracuru,BR,84.22,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
495,Garowe,SO,77.79,few clouds,8.4054,48.4845,Curubo Hotel
496,Lumding,IN,76.15,light rain,25.7535,93.1732,Hotel Nilamber
501,Lacarak,RS,82.22,overcast clouds,45.0022,19.5686,PB Urban Stay
502,Capinota,BO,76.87,clear sky,-17.7167,-66.2333,Urbanización Villa Real
503,Carutapera,BR,78.78,overcast clouds,-1.195,-46.02,Lidera
